RU,Pays,OA,PMA,Activité,EJ cible,Niveau de confiance,Pourquoi,Vol
G-DEPROMO,Allemagne,OA045,PMA_8016,International Office Property Developement,EJ_65631,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",4.3
G-REIMDE,Allemagne,OA060,PMA_8021,Investment Management,EJ_58476,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",85.5
G-REIMI,Allemagne,OA069,PMA_8020,IM International,EJ_65631,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",0.7
G-BE,Belgique,OA010,PMA_8037,Letting & Sales,EJ_21908,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",11.8
G-BE,Belgique,OA011,PMA_8041,Investment,EJ_21908,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",4.4000000000000004
G-BE,Belgique,OA021,PMA_8040,Valuation,EJ_21908,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",10.3
G-BE,Belgique,OA030,PMA_8017,Office Property & Facility Management,EJ_21908,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",58.4
G-SP,Espagne,OA010,PMA_8037,Letting & Sales,EJ_21913,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",17.100000000000001
G-SP,Espagne,OA011,PMA_8041,Investment,EJ_21913,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",18.5
G-SP,Espagne,OA011O,NOT USED,(OA technique — PMA non utilisé),EJ_21913,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",1.1000000000000001
G-SP,Espagne,OA020,PMA_8023,Consulting & Corporate Real Estate,EJ_21913,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",3.2
